,用户ID,评论内容,手机型号
0,17282751897.0,"外形外观：很美观，喜欢，
屏幕音效：不愧是2k屏幕，非常清晰，不辣眼睛，看着舒服了。
拍照效果：一亿像素，超清楚，每拍一张照片都是大片来的，超级满意，
运行速度：大运行内存，开十几个应用都不卡顿，非常好，很流利，
待机时间：电池很耐用，待机一天半没问题，5000毫安再也不担心电量不够用。
其他特色：一直都是米粉，k5opro手机，很棒，就是喜欢侧边指纹解锁，反应灵敏，比屏下指纹解锁快很多，机身轻薄，手感好，120w神仙闪充回血一字，快，红米手机值得拥有。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
1,17292186417.0,"外形外观：真的很不赖，手感也舒服
屏幕音效：很不错，听起来不怪就行
运行速度：很快，比我k30快多了
待机时间：还可以，充一次用一天
其他特色：总体感觉不错的
拍照效果：比旧手机强多了",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
2,17289542238.0,"外形外观：外观稳重大气，手机后壳的陨石图案非常酷炫。
屏幕音效： 上下双喇叭看电影放歌曲，声音效果特别棒，音质非常好，屏幕分辨率高，拍照文字图片显示的特别清晰，屏幕的分辨率非常非常非常高。
拍照效果：拍照清晰细腻，拍照远近切换远近拉伸镜头照片，画面非常好，非常清晰。
运行速度：运行非常流畅，一点都不卡顿，120W的充电器，充电速度特别的快",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
3,17295473026.0,"外形外观：整体外观还不错，手感也还行吧
屏幕音效：双扬声器看视频不错
拍照效果：一般
运行速度：天玑9000很强，日常使用很流畅，玩游戏也不错
待机时间：5000的电池配120W太强了，充电20分钟就能用上一天",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
4,17282958629.0,细节非常完美，整体来说真的很不错。性价比很高，下载软件的时候 明显温度低很多 运行也比较流畅 120hz高刷自适应屏幕 真心舒服 可以说这次天际9000的功耗调节的非常不错 YYds 不要盲目的跟风 自己好用才是硬道理,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
5,17372593243.0,"外形外观：紅米K50 Pro的外觀在背蓋質感較佳，墨羽色為橄欖隕石紋理，隨著不同角度會有各種折射光，滿特別的。
中框材質為塑膠，質感和觸感有明顯的廉價感，這部份滿可惜的，若為鋁鎂合金或是不鏽鋼材質較有旗艦機的質感。
SIM卡槽退卡孔與收音孔位置太近，容易混淆，一開始退卡針還插到收音孔。
屏幕音效：屏幕為三星OLED 2K屏，顯示效果非常好，眼睛看起來也舒服，刷新率120Hz也滿流暢的，觸控可達480Hz實際操作起來滿靈敏的；喇叭為實體雙喇叭（位置非對稱），有支援Dolby A**os音效，聽起來音質不錯，聲音大小設定超過中間才會有外放大聲的感覺，整體音效比我原本的K30至尊紀念版好滿多的。
拍照效果：拍照效果不錯，相機鏡頭為三星S5KHM2一億畫素加上光學防抖，照片的解析度非常高，光學防抖也可加強拍照成功率；尚未測試夜拍效果，感光元件尺寸大應該成像效果也不錯
运行速度：系統流暢度較佳，執行程式速度滿快的，遊戲載入速度也非常快；安兔兔跑分為93萬多分，與發表會上的100多萬分有差距，期待優化後能夠更加流暢以及更高分。
其他特色：手感較佳，與我原本的K30至尊紀念版比較重量只輕5公克，但是實際拿起來感覺輕滿多的，可能重心有比較平均分散。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
6,17327189062.0,"外形外观：喜欢这个墨羽色  花纹好好看?

屏幕音效：2k屏幕贼清晰   跟双扬声器看剧太搭了

拍照效果：一亿像素果然不是浪得虚名  哈哈哈

运行速度：力挺天玑9000   运行棒棒哒  话不多说   懂得都懂
其他特色：最喜欢这个120w充电   肉眼可见的速度直线拉升  妈妈再也不担心出门没电了",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
7,17317423345.0,"屏幕音效：2k屏幕不是盖的，非常清晰，色彩还原度高
拍照效果：拍照速度很快，拍照清晰够用
运行速度：天玑9000性能强，游戏运行流畅，主流游戏不掉帧，应用运行秒开
其他特色：接近100w跑分性能强，红外功能，杜比全景声，120w充电，该有的都有，合我心意
外形外观：外观耐看，辨识度还行",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
8,17327571517.0,"外观：手机外观无任何瑕疵，完美，银色看上去很高大上，手感也很好，主要是三星2K屏幕，很高清&hellip;
功能：玩游戏还是很顺畅的，拍照也很清晰&hellip;
优点：因为我是米粉，喜欢小米家的性价比！质量很好！
今年目标?：想买，小米家的全家桶&hellip;",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
9,17316782021.0,新买的k50pro，感觉很不错，2k屏幕?120w很给力，主要是电池续航十分给力，手里的iqoo9瞬间不香了，打游戏也还不错，价位精准，难得的好手机！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
